,month,day,year,content_type,likes,comments,shares
0,1,10,20,photo,23,7,3
1,1,8,20,photo,92,3,2
2,1,7,20,post,27,0,2
3,1,6,20,photo,174,0,3
4,1,3,20,photo,191,24,5
5,1,1,20,video,140,0,4
6,12,31,19,video,5,0,1
7,12,31,19,photo,25,0,1
8,12,30,19,post,19,0,2
9,12,30,19,video,65,2,12
10,12,27,19,post,53,0,2
11,12,26,19,photo,337,16,13
12,12,25,19,photo,92,0,1
13,12,24,19,post,42,0,0
14,12,23,19,photo,28,1,1
15,12,20,19,photo,268,10,17
16,12,19,19,video,90,1,12
17,12,13,19,photo,372,3,21
18,12,10,19,post,49,4,4
19,12,9,19,photo,115,3,4
20,12,9,19,post,20,1,5
21,12,7,19,post,21,4,4
22,12,6,19,post,261,4,6
23,12,5,19,photo,12,0,0
24,12,4,19,post,71,7,19
25,12,3,19,video,42,2,3
26,12,2,19,photo,118,2,3
27,11,30,19,post,16,0,0
28,11,29,19,post,116,3,7
29,11,28,19,post,82,4,10
30,11,27,19,photo,131,2,8
31,11,26,19,photo,67,2,0
32,11,25,19,post,2,0,1
33,11,21,19,photo,83,3,9
34,11,15,19,post,74,1,4
35,11,15,19,post,12,0,0
36,11,13,19,photo,31,2,0
37,11,12,19,post,166,4,14
38,11,11,19,photo,87,1,2
39,11,8,19,photo,128,3,6
40,11,7,19,post,116,21,11
41,11,7,19,photo,36,0,0
42,11,4,19,photo,607,14,30
43,10,31,19,photo,243,1,7
44,10,30,19,video,14,1,1
45,10,28,19,photo,168,1,9
46,10,28,19,post,53,7,2
47,10,27,19,post,79,5,0
48,10,25,19,video,29,3,0
49,10,23,19,video,32,0,5
50,10,17,19,video,62,4,2
51,10,16,19,video,41,0,2
52,10,15,19,video,37,1,2
53,10,14,19,post,44,2,1
54,10,14,19,post,68,0,4
55,10,13,19,video,83,8,9
56,10,11,19,video,0,0,0
57,10,10,19,video,0,0,0
58,10,10,19,post,53,2,2
59,10,9,19,photo,14,0,1
60,10,8,19,post,94,0,2
61,10,9,19,video,0,0,0
62,10,8,19,post,12,0,0
63,10,7,19,post,26,1,1
64,10,7,19,video,0,0,0
65,10,6,19,video,0,0,1
66,10,6,19,photo,35,0,6
67,10,4,19,post,21,1,1
68,10,4,19,post,28,1,2
69,10,3,19,post,21,0,0
70,10,2,19,photo,34,1,4
71,9,30,19,post,100,6,4
72,9,27,19,video,155,5,16
73,9,27,19,video,67,0,7
74,9,26,19,photo,57,3,1
75,9,26,19,post,102,4,4
76,9,24,19,photo,90,1,1
77,9,24,19,video,5,0,0
78,9,24,19,video,24,0,2
79,9,23,19,video,164,7,11
80,9,22,19,post,135,3,5
81,9,21,19,post,218,3,5
82,9,20,19,video,60,9,5
83,9,18,19,video,155,9,16
84,9,17,19,post,388,14,29
85,9,16,19,photo,32,1,0
86,9,15,19,post,25,5,3
87,9,13,19,photo,136,3,9
88,9,12,19,video,0,0,0
89,9,11,19,photo,27,3,1
90,9,9,19,photo,362,13,53
91,9,6,19,post,47,0,2
92,9,5,19,post,21,1,9
93,9,3,19,post,90,2,2
94,9,2,19,photo,182,2,6
95,9,1,19,post,18,0,1
96,8,31,19,post,66,6,12
97,8,29,19,video,0,0,0
98,8,28,19,post,14,1,1
99,8,26,19,post,22,0,3
100,8,25,19,post,10,0,1
101,8,22,19,post,53,1,17
102,8,21,19,post,13,1,1
103,8,20,19,video,308,12,73
104,8,18,19,post,90,2,5
105,8,14,19,video,68,3,5
106,8,12,19,post,122,7,20
107,8,9,19,post,48,0,2
108,8,8,19,post,69,3,7
109,8,8,19,post,26,0,1
110,8,7,19,post,20,0,2
111,8,6,19,photo,381,7,23
112,8,5,19,post,20,2,0
113,8,2,19,post,88,13,18
114,8,1,19,post,29,0,4
115,8,1,19,video,62,2,9
116,7,31,19,post,71,0,9
117,7,31,19,photo,32,1,2
118,7,31,19,post,97,1,17
119,7,30,19,post,26,4,0
120,7,30,19,post,102,6,6
121,7,29,19,post,114,1,8
122,7,27,19,post,28,0,0
123,7,26,19,post,59,1,2
124,7,26,19,post,74,0,4
125,7,25,19,post,36,1,4
126,7,24,19,post,42,0,6
127,7,23,19,post,17,0,1
128,7,22,19,photo,286,2,10
129,7,19,19,post,150,5,9
130,7,18,19,post,9,0,0
131,7,17,19,post,70,2,5
132,7,12,19,photo,20,1,3
133,7,11,19,photo,62,5,12
134,7,9,19,post,32,3,2
135,7,8,19,post,48,1,3
136,7,7,19,post,14,0,0
137,7,5,19,post,14,0,2
138,7,4,19,photo,132,1,0
139,7,3,19,video,38,0,2
140,7,1,19,video,86,7,9
141,6,30,19,post,102,3,7
142,6,29,19,post,16,1,0
143,6,28,19,post,224,12,18
144,6,27,19,post,55,4,3
145,6,26,19,video,44,3,2
146,6,25,19,post,36,1,0
147,6,24,19,post,472,23,70
148,6,23,19,video,67,4,12
149,6,22,19,post,72,4,8
150,6,22,19,post,57,2,1
151,6,21,19,video,152,9,11
152,6,21,19,video,28,0,7
153,6,19,19,video,44,1,3
154,6,17,19,post,167,8,7
155,6,16,19,video,167,7,35
156,6,15,19,video,342,33,45
157,6,15,19,video,0,0,0
158,6,14,19,post,67,4,2
159,6,14,19,post,128,0,4
160,6,14,19,video,0,0,0
161,6,14,19,video,0,0,0
162,6,14,19,photo,35,2,2
163,6,13,19,video,42,4,2
164,6,13,19,video,24,0,2
165,6,11,19,photo,55,0,2
166,6,10,19,video,42,2,2
167,6,9,19,video,100,1,10
168,6,8,19,post,24,0,2
169,6,7,19,video,168,28,21
170,6,6,19,video,35,8,16
171,6,5,19,video,67,5,8
172,6,4,19,post,215,7,5
173,6,3,19,photo,101,4,0
174,6,3,19,post,23,2,2
175,5,30,19,photo,91,4,3
176,5,28,19,video,11,2,1
177,5,27,19,photo,106,3,5
178,5,26,19,video,23,3,2
179,5,24,19,video,10,0,15
180,5,23,19,post,130,2,5
181,5,23,19,post,17,1,2
182,5,22,19,video,68,3,25
183,5,21,19,post,57,3,2
184,5,20,19,post,31,2,2
185,5,20,19,post,62,12,8
186,5,18,19,post,262,6,10
187,5,17,19,photo,21,0,3
188,5,17,19,video,0,0,0
189,5,15,19,video,13,0,1
190,5,13,19,post,28,1,2
191,5,13,19,post,13,1,1
192,5,12,19,post,162,0,6
193,5,9,19,post,5,0,1
194,5,8,19,video,172,4,26
195,5,7,19,post,8,0,1
196,5,5,19,post,86,2,1
197,5,3,19,post,45,0,6
198,5,2,19,photo,59,0,11
199,5,2,19,photo,4,1,0
200,5,1,19,post,102,4,5
201,4,30,19,video,0,0,0
202,4,30,19,post,28,2,3
203,4,29,19,post,108,2,1
204,4,26,19,post,63,0,4
205,4,26,19,video,53,6,0
206,4,24,19,post,63,0,5
207,4,23,19,post,15,0,3
208,4,23,19,video,73,4,5
209,4,22,19,post,7,1,0
210,4,22,19,post,49,1,2
211,4,21,19,photo,176,1,6
212,4,19,19,post,15,4,4
213,4,19,19,photo,84,4,6
214,4,16,19,photo,17,0,1
215,4,16,19,post,110,0,19
216,4,9,19,post,107,3,3
217,4,8,19,photo,59,7,8
218,4,8,19,post,124,11,8
219,4,6,19,post,1,0,1
220,4,6,19,post,30,0,3
221,4,5,19,photo,6,0,2
222,4,5,19,post,6,0,0
223,4,4,19,post,12,1,1
224,3,31,19,photo,19,0,2
225,3,28,19,post,34,2,1
226,3,27,19,post,100,9,2
227,3,26,19,post,14,1,0
228,3,25,19,photo,12,1,1
229,3,25,19,post,65,2,6
230,3,23,19,post,8,0,0
231,3,21,19,post,158,1,16
232,3,20,19,post,130,3,9
233,3,19,19,video,338,34,81
234,3,19,19,photo,474,36,67
235,3,19,19,video,0,0,0
236,3,17,19,video,27,0,5
237,3,17,19,photo,15,0,3
238,3,16,19,post,162,0,11
239,3,15,19,post,116,2,6
240,3,15,19,video,25,0,4
241,3,14,19,post,23,0,2
242,3,11,19,photo,37,5,7
243,3,12,19,video,0,0,0
244,3,9,19,post,33,1,4
245,3,8,19,video,42,0,50
246,3,8,19,photo,19,1,2
247,3,7,19,photo,11,0,0
248,3,7,19,photo,26,1,3
249,3,7,19,post,52,1,4
250,3,7,19,video,33,1,0
